"Taxon","pval","qval","lfc"
"UniRef90_A0A3C0BI19",0.048798941387348,1,1.01963956397057
"UniRef90_B9D2N3",0.0215803106787376,1,1.20805647965046
"UniRef90_J4KDX8",0.0343907946357929,1,1.34350980056798
"UniRef90_L1NIT5",0.0358037296950318,1,1.35835297996452
"UniRef90_U7V4D6",0.0081089986347478,1,2.29149051353997
"UniRef90_UPI00036A705E",0.0298147274751752,1,1.29554293308746
"UniRef90_A0A0M4GTB0",0.00154170061321546,0.462510183964637,2.13774210134561
"UniRef90_A0A0X8KAH6",0.0349879058394103,1,1.34977859526096
"UniRef90_A0A134A2L4",0.0343907946357929,1,1.34350980056798
"UniRef90_A0A1Q8XIS7",0.00424369348217974,1,2.73472315686718
"UniRef90_A0A2B7YY17",0.0292490861110189,1,-1.89356608746754
"UniRef90_A0A318HQ74",0.0121606412211982,1,1.0991694593837
"UniRef90_A5TVF0",0.0467402358886827,1,1.47544492644419
"UniRef90_C8NB72",0.0210597483319589,1,1.20238962793176
"UniRef90_C9MUM6",0.00224435086134005,0.671060907540675,2.76976434989527
"UniRef90_D2ENY9",0.0175952699374249,1,4.77656205294434
"UniRef90_D3IKE1",0.0281599730325252,1,1.27816441852613
"UniRef90_D3IKU4",0.00146872778244604,0.443555790298704,2.46645982284882
"UniRef90_F9EDQ2",0.0075660769491419,1,1.03583377264134
"UniRef90_J0XE44",0.0232222614663652,1,2.22384045669556
"UniRef90_J0XEL7",0.00152972801434439,0.46044813231766,2.40242151075875
"UniRef90_J6I625",0.0262793204726332,1,1.25833362969965
"UniRef90_L1NQ05",0.00228032618797319,0.67953720401601,2.75118661849658
"UniRef90_L1NU03",0.042059091860391,1,-1.54536736345356
"UniRef90_L1PMK0",0.000168484272380206,0.0512192188035827,-2.14499384008636
"UniRef90_L1PS04",0.0430122625717973,1,1.4349444494032
"UniRef90_U1RP32",0.0141059581499095,1,2.94512044525491
"UniRef90_U2BYZ5",0.0175609415862253,1,1.16351842940979
"UniRef90_U2C1G8",0.0280817134176087,1,1.27734118990015
"UniRef90_U2KZ56",0.0280817134176087,1,1.27734118990015
"UniRef90_U2LXT4",0.00097754042408223,0.296194748496916,2.18399874818435
"UniRef90_U2Q999",0.0336222466050475,1,1.33544793990119
"UniRef90_UPI0004E12320",0.0353929560836238,1,1.354034221208
"UniRef90_V2Y0N7",0.0375066722749112,1,1.37629624063473
"UniRef90_W1Q1L8",0.0355981198855427,1,-2.75888502993145
"UniRef90_W2CIW7",0.0270888447492537,1,1.2668830997949
"UniRef90_W2VC95",0.0234832422755886,1,1.22858228389839
"UniRef90_X8H3M8",0.0238062384427322,1,1.23204073828927
