"Taxon","combinations","pval"
"UniRef90_U2RSB5","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0295001371230527
"UniRef90_A0A0S2ZM78","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0427036248697112
"UniRef90_A0A2B7YNI3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.000503471198151287
"UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0153184924208964
"UniRef90_E0DHI2","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.00237200077584661
"UniRef90_L1NU03","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0021054776848388
"UniRef90_L1NXW0","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0348453759862908
"UniRef90_L1P8R8","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0274444378961055
"UniRef90_R9RDW5","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0491461846358309
"UniRef90_U1S5K2","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0201346754886552
"UniRef90_U2IFD3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0152592272884141
"UniRef90_UPI0007E347B6","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.00378907650681087
"UniRef90_W2CII2","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.00194199240360061
"UniRef90_A0A2B7YNI3","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0100301336020067
"UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.032312992084923
"UniRef90_A0A2C6C3I1","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0105840746545693
"UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0141426417565086
"UniRef90_A5TWG4","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0241629195849898
"UniRef90_J6IUG2","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0427967778479542
"UniRef90_U1R9S4","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0292278217119935
"UniRef90_U2PKD9","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0346276321816081
"UniRef90_W2CII2","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0215624128502274
"UniRef90_X8HWZ7","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0489952514253879
"UniRef90_A0A241Q2B3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0422130284730942
"UniRef90_A0A2B7YNI3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0219876170103509
"UniRef90_A0A2B7YY17","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00840742189660773
"UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00414310863761476
"UniRef90_D3IKU4","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0462105060588579
"UniRef90_F9EJN4","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00940233081259198
"UniRef90_L1PTL1","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0188781569181046
"UniRef90_L1PUB1","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.023883322681356
"UniRef90_U2IFD3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00841812052250661
"UniRef90_U2PKD9","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0074596980570136
"UniRef90_J5VG22","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0103923836095864
"UniRef90_A0A2B7YY17","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00515322306841383
"UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0338166854033606
"UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0144638915632472
"UniRef90_A5TVF0","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0204423982978017
"UniRef90_A5TWG4","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0460126429272614
"UniRef90_C9MZK9","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00876910829789502
"UniRef90_D3QZD1","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00793665351853374
"UniRef90_J6IUG2","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00083938174091693
"UniRef90_L1NU03","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0106196722115273
"UniRef90_U1SAA0","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0429168268425343
